title,authors,language,categories,averageRating
Sammy Keyes and the Search for Snake Eyes,['Wendelin Van Draanen'],en,['Juvenile Fiction'],3.5
Indian Gaming Regulatory Act,['United States. Congress. Senate. Committee on Indian Affairs (1993- )'],en,['Gambling on Indian reservations'],
The Eisenhowers,['Steve Neal'],en,['Biography & Autobiography'],
Code of Federal Regulations,,en,['Administrative law'],
List of C.F.R. Sections Affected,,en,['Administrative law'],
American Lawn Tennis,,en,['Tennis'],
Sammy Keyes and the Art of Deception,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4.0
Sammy Keyes and the Psycho Kitty Queen,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4.0
Sammy Keyes and the Sisters of Mercy,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4.0
Enterprise 2.0,['Jessica Keyes'],en,['Business & Economics'],
Sammy Keyes and the Wedding Crasher,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4.0
Soil Conservation,,en,['Soil conservation'],
The Phone Book,,en,['Johannesburg (South Africa)'],
National Petroleum News,,en,['Petroleum'],
The Keyes of the Kingdom of Heaven,['John Cotton'],en,['Congregational churches'],
Marconi's International Register,,en,"['Cables, Submarine']",
NPN Fact Book,,en,['Petroleum industry and trade'],
Who's who Among Students in American Universities and Colleges,['Henry Pettus Randall'],en,['Students'],
Smart Phone and Next Generation Mobile Computing,"['Pei Zheng', 'Lionel Ni']",en,['Computers'],
Smartphones,"['Mohammad Ilyas', 'Syed A. Ahson']",en,['Technology & Engineering'],
Casenote Legal Briefs for Criminal Procedure Keyed to Dressler and Thomas,['Casenote Legal Briefs'],en,['Law'],
"The Complete Book of Locks and Locksmithing, Seventh Edition",['Bill Phillips'],en,['Technology & Engineering'],5.0
"Casenote Legal Briefs for Contracts, Keyed to Knapp, Crystal, and Prince",['Casenote Legal Briefs'],en,['Law'],
Asia Electronics Industry,,en,['Computer industry'],
Sammy Keyes and the Art of Deception,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4.0
Sammy Keyes and the Skeleton Man,,en,['Juvenile Fiction'],3.5
Sammy Keyes and the Search for Snake Eyes,['Wendelin Van Draanen'],en,['Juvenile Fiction'],3.5
The Phone Book,,en,['Johannesburg (South Africa)'],
Politics in Pacific Asia,"['X. Huang', 'Jason Young']",en,['Political Science'],
"Music, Education, and Religion","['Alexis Anja Kallio', 'Philip Alperson', 'Heidi Westerlund']",en,['Music'],
Religious Commodifications in Asia,['Pattana Kitiarsa'],en,['Religion'],
The Riddle of Barack Obama,['Avner Falk'],en,['Biography & Autobiography'],1.0
Asian Visions of Authority,['Joint Committee on Southeast Asia'],en,['Religion'],5.0
Arguing About Religion,['Kevin Timpe'],en,['Religion'],
Readings in philosophy of religion,['Andrew Eshleman'],en,['Philosophy'],
United States Political Science Documents,,en,['Political science'],
"Religion, Ethnicity and Modernity in Southeast Asia",['Myung-Seok Oh'],en,"['Asia, Southeastern']",
Directory of departments and programs of religious studies in North America,"['David G. Truemper', 'Council of Societies for the Study of Religion']",en,['Religion'],
Blasphemy,['Alan Dershowitz'],en,['Political Science'],
Whose God Rules?,"['N. Walker', 'E. Greenlee']",en,['Social Science'],
"Atheism and Arithmetic, Or, Mathematical Law in Nature",['Horace Lorenzo Hastings'],en,['God'],
Atheism And The Case Against Christ,['Matthew S. Mccormick'],en,['Religion'],
America Declares Independence,['Alan Dershowitz'],en,['History'],5.0
Gods Arrow Against Atheists,['Henry Smith'],en,['Christianity and atheism'],
Gods Arrow Againste Atheists,['Henry Smith'],en,['Apologetics'],
The Indian Libertarian,,en,['Economic history'],
Brain Mystery Light and Dark,['Charles Don Keyes'],en,['Philosophy'],
"101 Proofs that the Bible is True, an Answer to Atheism",['Charles Orville Benham'],en,['Bible'],
Bulletin of the United States Geological Survey,,en,['Geology'],
Get Rommel,['Michael Asher'],en,['History'],3.5
Annual Report of the Commissioner of Patents,['United States. Patent Office'],en,,
Sammy Keyes and the Wedding Crasher,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4.0
The Bloody Man,['Bevan Amberhill'],en,['Fiction'],
Self-instruction in Practical Business Qualifications,['Charles Stewart Macnair'],en,,
1000 Helpful Hints & Valuable Suggestions for Book-keepers and Business Men,"['Book-keeper publishing co., Detroit']",en,['Bookkeeping'],
The Railway Agent and Station Agent,,en,,
Devonshire Scream,['Laura Childs'],en,['Fiction'],4.0
Gaywyck,['Vincent Virga'],en,['Fiction'],3.5
Decisions and Orders of the National Labor Relations Board,['United States. National Labor Relations Board'],en,['Labor laws and legislation'],
Food Shortages: Sugar,['United States. Congress. House. Special Committee to Investigate Food Shortages'],en,['Meat industry and trade'],
Biennial Report of the Dairy and Food Commissioner of Wisconsin for the Years ...,['Wisconsin Dairy and Food Commission'],en,,
Food Shortages,['United States. Congress. House. Special Committee to Investigate Food Shortages'],en,['Meat industry and trade'],
Annual Report of the Dairy and Food Commissioner of Wisconsin,['Wisconsin Dairy and Food Commission'],en,['Dairy products'],
Biennial Report of the Dairy and Food Commissioner of Wisconsin,['Wisconsin. Dairy and Food Commission'],en,,
"Food in the Movies, 2d ed.",['Steve Zimmerman'],en,['Performing Arts'],
Chilton's Food Engineering,,en,['Food industry and trade'],
Sammy Keyes and the Hotel Thief,['Wendelin Van Draanen'],en,['Juvenile Fiction'],3.5
Child Psychopathology,['Jeffrey Haugaard'],en,['Psychology'],
Directory of Historic House Museums in the United States,"['Patricia Chambers Walker', 'Thomas Graham']",en,['History'],
American Furniture in the Metropolitan Museum of Art,"['Frances Gruber Safford', 'Metropolitan Museum of Art (New York, N.Y.)']",en,['Furniture'],
Catalog of Copyright Entries. Third Series,['Library of Congress. Copyright Office'],en,['Copyright'],
American Furniture,,en,['Furniture'],
American furniture 1997,['Luke Beckerdite'],en,['Antiques & Collectibles'],
Register of Retirement Benefit Plans Reported Under the Welfare and Pension Plans Disclosure Act,,en,['Old age pensions'],
The Jamestown Furniture Industry,['Clarence Carlson'],en,['History'],
National Hardwood Magazine,,en,['Hardwoods'],
MacRae's Blue Book,,en,['Manufacturing industries'],
New Orleans. Ediz. inglese,['Rosanna Cirigliano'],en,['Travel'],
Advances in Information Security and Assurance,"['James (Jong Hyuk) Park', 'Hsiao-Hwa Chen', 'Mohammed Atiquzzaman', 'Changhoon Lee', 'Sang-Soo Yeo']",en,['Computers'],
The Complete Guide to Physical Security,"['Paul R. Baker', 'Daniel J. Benny']",en,['Business & Economics'],5.0
Enterprise 2.0,['Jessica Keyes'],en,['Business & Economics'],
The Official (ISC)2 Guide to the SSCP CBK,"['Adam Gordon', 'Steven Hernandez']",en,['Computers'],
NET Security and Cryptography,"['Peter Thorsteinson', 'G. Gnana Arun Ganesh']",en,['Computers'],2.0
Maximum Windows 2000 Security,"['Anonymous', 'Mark Burnett', 'Chris Amaris', 'Chris Doyle', 'L. J. Locher', 'Rand Morimoto']",en,['Computers'],
Information Security and Cryptology - ICISC 2011,['Howon Kim'],en,['Computers'],
Engineering Information Security,['Stuart Jacobs'],en,['Technology & Engineering'],
"The Complete Book of Home, Site and Office Security",['Bill Phillips'],en,['Architecture'],4.0
High-Rise Security and Fire Life Safety,['Geoff Craighead'],en,['Business & Economics'],
Analyzing the Hospital Life Safety Survey,['Brad Keyes'],en,['Medical'],
Halo: The Cole Protocol,"['Eric Nylund', 'Tobias S. Buckell']",en,['Fiction'],4.5
Role Development in Professional Nursing Practice,['Kathleen Masters'],en,['Medical'],
A Question of Identity,['Susan Hill'],en,['Fiction'],
"The Chapter Leader's Guide to Life Safety, Third Edition",['Brad Keyes'],en,,
Cumulated Index Medicus,,en,['Medicine'],
"Business Law, Principles and Practices","['Arnold J. Goldman', 'William D. Sigismond']",en,['Business law'],
Technical Digest,,en,['Industrial engineering'],
Chameleon Christianity,['Dick Keyes'],en,['Religion'],
Sammy Keyes and the Kiss Goodbye,['Wendelin Van Draanen'],en,['Juvenile Fiction'],5.0
Stolen Away,['Michael Newton'],en,['True Crime'],
"Billy Wilder, Movie-Maker",['Karen McNally'],en,['Performing Arts'],
The Astrology of Film,"['Bill Streett', 'Jeffrey Kishner']",en,['Biography & Autobiography'],
"Soulsville, U.S.A.: The Story of Stax Records",['Rob Bowman'],en,['Music'],
Three Classic Thrillers 3-Book Bundle,['John Grisham'],en,['Fiction'],5.0
West's Southern Reporter,,en,"['Law reports, digests, etc']",
American Movie Critics,['Phillip Lopate'],en,['Performing Arts'],5.0
Sammy Keyes and the Kiss Goodbye,['Wendelin Van Draanen'],en,['Juvenile Fiction'],5.0
"Fisher, Churchill and the Dardanelles",['Geoffrey Penn'],en,['Biography & Autobiography'],
"Self-government, the American Theme",['Will Morrisey'],en,['History'],
Literary Readings of Billy Wilder,['Georges-Claude Guilbert'],en,['Performing Arts'],
Love Inspired Suspense December 2014 - Box Set 1 of 2,"['Shirlee McCoy', 'Sharon Dunn', 'Alison Stone']",en,['Fiction'],
L.A. Rex,['Will Beall'],en,['Fiction'],
Cold Case Justice,['Sharon Dunn'],en,['Fiction'],
Sammy Keyes and the Art of Deception,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4.0
Sammy Keyes and the Wedding Crasher,['Wendelin Van Draanen'],en,['Juvenile Fiction'],4.0
Catwoman (2011-) #27,['Ann Nocenti'],en,['Comics & Graphic Novels'],
Sammy Keyes and the Night of Skulls,['Wendelin Van Draanen'],en,['Juvenile Fiction'],3.0
Sammy Keyes and the Search for Snake Eyes,['Wendelin Van Draanen'],en,['Juvenile Fiction'],3.5
Southern California Quarterly,,en,"['California, Southern']",
Mastering Windows XP Home Edition,['Hart-Davis'],en,['Computers'],
Special Edition Using Filemaker 8,"['Steve Lane', 'Scott Love', 'Bob Bowers']",en,['Computers'],4.0
Rehab Brief,,en,['Rehabilitation'],
Knowledge-Based Intelligent Information and Engineering Systems,['Bruno Apolloni'],en,['Computers'],
Alan Simpson's Windows Vista Bible,"['Alan Simpson', 'Bradley L. Jones']",en,['Computers'],
How to Do Everything with Windows Vista,['Curt Simmons'],en,['Computers'],
"MICROPROCESSORS, PC HARDWARE AND INTERFACING",['N. MATHIVANAN'],en,['Computers'],4.0
"Activity Catalog Tool (ACT) User Manual, Version 2.0",,en,,
Advances in Information Technology Research and Application: 2013 Edition,,en,['Computers'],
Asset Protection through Security Awareness,['Tyler Justin Speed'],en,['Business & Economics'],
Senouhi Cumulative Book Index for Egyptian Region UAR,,en,,
Iraqi Constitutional Studies,['DePaul University. International Human Rights Law Institute'],en,['Civil rights'],
Mudhakarat talib,['Jeff Kinney'],en,['Diaries'],5.0
Iraqi Constitutional Studies,['DePaul University. International Human Rights Law Institute'],en,['Civil rights'],
Khor Rori (Sumhuram),,en,,
Iraqi Constitutional Studies,['DePaul University. International Human Rights Law Institute'],en,['Civil rights'],
"Finance and Development, December 2013",['International Monetary Fund. External Relations Dept.'],en,['Business & Economics'],
The Minds of Billy Milligan,['Daniel Keyes'],en,['Psychology'],5.0
